epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5009,1.5597,3.97629,1.47598,0.00251,0.61806,0.00276,0.00139,1.8395,inf,2.29559,0.000541419,0.000541419,0.000541419
2,120.096,1.41472,2.12559,1.46729,0.00251,0.61806,0.00276,0.00139,nan,nan,nan,0.00108622,0.00108622,0.00108622
3,160.647,1.49879,1.72026,1.52494,0.00251,0.61806,0.00276,0.00139,nan,nan,nan,0.00162003,0.00162003,0.00162003
4,199.132,1.39478,1.60424,1.45592,0.00251,0.61806,0.00276,0.00139,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,238.996,1.33484,1.60094,1.40822,0.389,0.59361,0.3802,0.22885,1.34446,3.43826,1.60743,0.00160099,0.00160099,0.00160099
6,281.75,1.39325,1.55139,1.41687,0.39918,0.67558,0.42236,0.25186,1.38654,2.72974,1.63683,0.00158448,0.00158448,0.00158448
7,336.512,1.45505,1.50895,1.47494,0.41243,0.71483,0.4358,0.27548,1.2467,1.99406,1.44919,0.00156798,0.00156798,0.00156798
8,396.205,1.29942,1.41765,1.38436,0.36779,0.60147,0.43691,0.26785,1.30565,2.10134,1.51787,0.00155148,0.00155148,0.00155148
9,439.417,1.27741,1.41198,1.3611,0.33799,0.42798,0.2665,0.15012,1.87579,2.03844,1.91205,0.00153497,0.00153497,0.00153497
10,486.454,1.29744,1.34773,1.3676,0.43692,0.78048,0.45274,0.29733,1.28146,1.37417,1.42082,0.00151847,0.00151847,0.00151847
11,539.404,1.25567,1.33274,1.35683,0.43108,0.65654,0.41997,0.26921,1.38564,1.5846,1.49052,0.00150197,0.00150197,0.00150197
12,586.612,1.27607,1.35199,1.35743,0.41347,0.62973,0.40127,0.25046,1.36362,1.68222,1.48429,0.00148546,0.00148546,0.00148546
13,633.532,1.23089,1.34019,1.32684,0.46507,0.73489,0.45207,0.30108,1.21954,1.50028,1.34609,0.00146896,0.00146896,0.00146896
14,687.765,1.20126,1.3093,1.30904,0.41981,0.72223,0.3986,0.26056,1.31571,1.64717,1.41206,0.00145246,0.00145246,0.00145246
15,734.066,1.2415,1.31908,1.32608,0.38709,0.52528,0.35238,0.23503,1.35402,1.82061,1.48118,0.00143595,0.00143595,0.00143595
16,776.647,1.17918,1.30869,1.30843,0.39946,0.79686,0.42984,0.27187,1.34294,1.60649,1.47191,0.00141945,0.00141945,0.00141945
17,818.31,1.20123,1.2703,1.29417,0.42714,0.77634,0.44761,0.29378,1.21126,1.4313,1.35119,0.00140295,0.00140295,0.00140295
18,865.191,1.18219,1.2428,1.28755,0.41974,0.77329,0.47861,0.31482,1.24682,1.34512,1.42903,0.00138644,0.00138644,0.00138644
19,911.707,1.13624,1.22944,1.27746,0.45315,0.81299,0.48544,0.34678,1.11043,1.2782,1.28809,0.00136994,0.00136994,0.00136994
20,964.915,1.17592,1.27125,1.29266,0.45956,0.80916,0.46697,0.31912,1.16721,1.2795,1.33626,0.00135344,0.00135344,0.00135344
21,1005.85,1.16872,1.22982,1.27462,0.42828,0.83447,0.51234,0.3193,1.28646,1.33642,1.39429,0.00133693,0.00133693,0.00133693
22,1053.63,1.1247,1.21323,1.2501,0.44784,0.83677,0.46125,0.32117,1.13,1.23311,1.30135,0.00132043,0.00132043,0.00132043
23,1095.46,1.11101,1.16503,1.24381,0.46871,0.8075,0.49389,0.32614,1.27255,1.27409,1.37952,0.00130393,0.00130393,0.00130393
24,1142.23,1.14245,1.18005,1.26629,0.45946,0.72912,0.46484,0.31937,1.29059,1.53836,1.38739,0.00128742,0.00128742,0.00128742
25,1190.93,1.11221,1.1699,1.26135,0.45572,0.67068,0.45511,0.32141,1.22767,1.63148,1.37816,0.00127092,0.00127092,0.00127092
26,1230.8,1.11151,1.1706,1.25056,0.46138,0.84917,0.52026,0.35951,1.12454,1.21044,1.31432,0.00125442,0.00125442,0.00125442
27,1284.62,1.10384,1.19077,1.26435,0.45462,0.73025,0.46474,0.30237,1.27717,1.37872,1.39219,0.00123791,0.00123791,0.00123791
28,1325.33,1.09013,1.15448,1.24615,0.45352,0.77246,0.46519,0.30867,1.18757,1.28395,1.32762,0.00122141,0.00122141,0.00122141
29,1366.63,1.10679,1.1572,1.23383,0.47695,0.81008,0.48871,0.3445,1.1269,1.23966,1.27007,0.00120491,0.00120491,0.00120491
30,1407.5,1.09329,1.17018,1.23281,0.45408,0.85637,0.53224,0.37079,1.10682,1.20111,1.28302,0.0011884,0.0011884,0.0011884
31,1455.88,1.06168,1.1307,1.213,0.46135,0.84928,0.50288,0.35499,1.09636,1.1954,1.26792,0.0011719,0.0011719,0.0011719
32,1497.32,1.12461,1.15602,1.2141,0.45035,0.83447,0.50866,0.34124,1.1401,1.24015,1.2585,0.0011554,0.0011554,0.0011554
33,1538.85,1.05251,1.0975,1.20494,0.45481,0.71703,0.45749,0.31674,1.23279,1.49271,1.35637,0.00113889,0.00113889,0.00113889
34,1579.51,1.06363,1.11611,1.21462,0.47507,0.86816,0.54804,0.38295,1.05034,1.12689,1.24316,0.00112239,0.00112239,0.00112239
35,1633.88,1.07384,1.12565,1.24325,0.48961,0.86959,0.52262,0.35679,1.14175,1.1526,1.30719,0.00110589,0.00110589,0.00110589
36,1673.2,1.01152,1.08761,1.16512,0.44187,0.85606,0.48795,0.33128,1.14284,1.24996,1.28707,0.00108938,0.00108938,0.00108938
37,1715.94,0.99903,1.09833,1.17274,0.46074,0.80278,0.46408,0.31186,1.15733,1.25896,1.31041,0.00107288,0.00107288,0.00107288
38,1755.57,1.04494,1.0811,1.18999,0.48119,0.85346,0.53588,0.3767,1.12329,1.13864,1.24751,0.00105638,0.00105638,0.00105638
39,1796.84,1.00874,1.09775,1.15912,0.47672,0.7612,0.51868,0.36252,1.09194,1.16916,1.24664,0.00103987,0.00103987,0.00103987
40,1835.43,1.05311,1.11472,1.18751,0.48272,0.71989,0.47603,0.32754,1.18973,1.24469,1.31791,0.00102337,0.00102337,0.00102337
41,1877.23,1.01313,1.08194,1.15783,0.47501,0.83766,0.52526,0.35253,1.17648,1.24964,1.32259,0.00100687,0.00100687,0.00100687
42,1919.43,1.03346,1.08262,1.19673,0.49357,0.81661,0.56424,0.40025,1.0558,1.09107,1.24403,0.000990365,0.000990365,0.000990365
43,1967.7,1.01319,1.09301,1.16607,0.47428,0.86588,0.53146,0.37588,1.10488,1.15123,1.26268,0.000973861,0.000973861,0.000973861
44,2009.85,0.99421,1.03433,1.15105,0.47476,0.7599,0.51584,0.34459,1.19642,1.2305,1.3488,0.000957358,0.000957358,0.000957358
45,2050.99,0.99699,1.05209,1.17318,0.48302,0.81635,0.60109,0.41805,1.07441,1.07326,1.26042,0.000940855,0.000940855,0.000940855
46,2102.56,0.98099,1.04315,1.16233,0.45542,0.881,0.56068,0.38436,1.09084,1.11191,1.28434,0.000924352,0.000924352,0.000924352
47,2143.73,0.99438,1.05441,1.1534,0.46421,0.85004,0.59975,0.41937,1.08158,1.13718,1.25221,0.000907848,0.000907848,0.000907848
48,2195.88,0.9883,1.03964,1.16019,0.46712,0.84744,0.55946,0.38523,1.10464,1.12462,1.27769,0.000891345,0.000891345,0.000891345
49,2237.34,0.95127,1.0437,1.14581,0.49515,0.83044,0.56822,0.4121,1.03607,1.09469,1.23273,0.000874842,0.000874842,0.000874842
50,2283.39,0.94113,0.99899,1.13629,0.49762,0.80742,0.56938,0.4071,1.12792,1.11926,1.27475,0.000858338,0.000858338,0.000858338
51,2325.4,0.97846,1.03954,1.17158,0.46979,0.76363,0.5375,0.37145,1.11865,1.23786,1.30266,0.000841835,0.000841835,0.000841835
52,2368.42,0.99051,1.05301,1.14972,0.45672,0.89504,0.52378,0.36849,1.08709,1.18557,1.25606,0.000825332,0.000825332,0.000825332
53,2409.32,0.92601,1.0308,1.11109,0.48425,0.84856,0.5921,0.41721,1.11682,1.06199,1.25427,0.000808828,0.000808828,0.000808828
54,2450.33,0.95689,1.02353,1.15188,0.51687,0.81666,0.61583,0.44406,1.01622,1.05141,1.2044,0.000792325,0.000792325,0.000792325
55,2503.7,0.91471,1.00755,1.11024,0.50104,0.78486,0.55295,0.39463,1.06196,1.1308,1.25874,0.000775822,0.000775822,0.000775822
56,2544.01,0.95039,1.0077,1.14133,0.46333,0.74383,0.50812,0.35236,1.09025,1.32678,1.28058,0.000759318,0.000759318,0.000759318
57,2587.81,0.92045,0.98366,1.11975,0.4984,0.83391,0.57365,0.41175,1.01901,1.09905,1.21497,0.000742815,0.000742815,0.000742815
58,2628.35,0.96139,0.98344,1.14291,0.50068,0.80735,0.60371,0.42617,1.03093,1.06279,1.22836,0.000726312,0.000726312,0.000726312
59,2669.48,0.93456,0.97644,1.126,0.49041,0.88245,0.62216,0.42507,1.06693,1.04451,1.25109,0.000709809,0.000709809,0.000709809
60,2712.67,0.9192,0.98156,1.13182,0.51381,0.81487,0.58433,0.399,1.13017,1.09489,1.28773,0.000693305,0.000693305,0.000693305
61,2753.66,0.92919,0.96612,1.13267,0.50119,0.84305,0.58096,0.39674,1.14663,1.07839,1.31109,0.000676802,0.000676802,0.000676802
62,2794.24,0.91722,0.95643,1.11465,0.50827,0.79739,0.60499,0.4145,1.13787,1.08358,1.30655,0.000660299,0.000660299,0.000660299
63,2835.11,0.92421,0.95378,1.12399,0.50666,0.8163,0.60087,0.41276,1.14005,1.06354,1.30849,0.000643795,0.000643795,0.000643795
64,2876,0.91317,0.97211,1.11358,0.49109,0.84744,0.60999,0.42115,1.08555,1.05039,1.2661,0.000627292,0.000627292,0.000627292
65,2915.07,0.88439,0.93011,1.0956,0.47263,0.863,0.60782,0.42492,1.10282,1.06991,1.31572,0.000610789,0.000610789,0.000610789
66,2955.93,0.89654,0.91455,1.11525,0.46977,0.82784,0.57882,0.39722,1.09508,1.09579,1.28547,0.000594286,0.000594286,0.000594286
67,2999.56,0.89624,0.92397,1.10274,0.49162,0.86183,0.61041,0.41638,1.12823,1.03878,1.34354,0.000577782,0.000577782,0.000577782
68,3044.1,0.87636,0.92173,1.09655,0.48894,0.87536,0.59863,0.42883,1.04596,1.06885,1.25905,0.000561279,0.000561279,0.000561279
69,3090.3,0.89214,0.93584,1.11369,0.51929,0.76125,0.57275,0.39365,1.07633,1.12865,1.28683,0.000544776,0.000544776,0.000544776
70,3132.87,0.89651,0.91495,1.12838,0.51594,0.841,0.61235,0.4317,1.05516,1.02581,1.24979,0.000528272,0.000528272,0.000528272
71,3189.72,0.89209,0.90319,1.10462,0.52362,0.80681,0.62771,0.43458,1.07625,1.01574,1.2666,0.000511769,0.000511769,0.000511769
72,3235.1,0.89092,0.91445,1.12245,0.49548,0.81991,0.59632,0.41295,1.0945,1.0708,1.30805,0.000495266,0.000495266,0.000495266
73,3275.78,0.85233,0.89696,1.07683,0.47872,0.82352,0.5777,0.39358,1.15478,1.09381,1.28871,0.000478762,0.000478762,0.000478762
74,3316.3,0.84859,0.86883,1.07716,0.48327,0.87071,0.60647,0.42885,1.07313,1.06402,1.25966,0.000462259,0.000462259,0.000462259
75,3357.71,0.83717,0.8734,1.08236,0.53821,0.78557,0.61609,0.4306,1.06785,1.04791,1.26686,0.000445756,0.000445756,0.000445756
76,3396.88,0.8528,0.86377,1.0903,0.50103,0.84945,0.59653,0.42256,1.06093,1.04622,1.27585,0.000429253,0.000429253,0.000429253
77,3437.04,0.85159,0.85402,1.09215,0.47919,0.87309,0.56589,0.40139,1.0501,1.07978,1.28446,0.000412749,0.000412749,0.000412749
78,3478.1,0.80482,0.82438,1.06479,0.55279,0.73025,0.61896,0.4403,1.05525,1.05453,1.26186,0.000396246,0.000396246,0.000396246
79,3521.73,0.81153,0.81543,1.06377,0.5112,0.7841,0.6137,0.42794,1.05576,1.05846,1.26783,0.000379743,0.000379743,0.000379743
80,3561.91,0.85213,0.83966,1.08198,0.49556,0.8457,0.60846,0.43486,1.05897,1.06109,1.2738,0.000363239,0.000363239,0.000363239
81,3603.48,0.81173,0.80065,1.06907,0.5547,0.75909,0.62209,0.44679,1.04145,1.04488,1.24862,0.000346736,0.000346736,0.000346736
82,3650.2,0.81729,0.79956,1.06797,0.51295,0.79757,0.59566,0.42348,1.0645,1.10414,1.27305,0.000330233,0.000330233,0.000330233
83,3698.99,0.78624,0.80243,1.04243,0.50551,0.82003,0.60006,0.43155,1.05795,1.03662,1.27309,0.000313729,0.000313729,0.000313729
84,3740.66,0.80929,0.78924,1.07305,0.52428,0.80278,0.61783,0.44138,1.05647,1.05366,1.27706,0.000297226,0.000297226,0.000297226
85,3782.26,0.81059,0.7678,1.06304,0.51027,0.82498,0.6175,0.43107,1.06254,1.05611,1.27346,0.000280723,0.000280723,0.000280723
86,3824.22,0.78116,0.75743,1.05323,0.52144,0.80022,0.59755,0.42094,1.08259,1.08187,1.2885,0.00026422,0.00026422,0.00026422
87,3865.5,0.75638,0.72787,1.04249,0.49918,0.82585,0.59848,0.42868,1.02633,1.08389,1.26309,0.000247716,0.000247716,0.000247716
88,3908.99,0.78978,0.72131,1.04358,0.52868,0.79762,0.61875,0.44714,1.02764,1.03122,1.26623,0.000231213,0.000231213,0.000231213
89,3949.44,0.76049,0.69376,1.05583,0.51223,0.81891,0.6132,0.43076,1.08933,1.08192,1.3001,0.00021471,0.00021471,0.00021471
90,3990.55,0.76003,0.72763,1.04493,0.52204,0.79276,0.61636,0.43924,1.03973,1.09148,1.25806,0.000198206,0.000198206,0.000198206
91,4038.11,0.72983,0.73276,1.03281,0.53803,0.82151,0.6145,0.45449,1.03281,1.04555,1.26675,0.000181703,0.000181703,0.000181703
92,4086.65,0.70965,0.70083,1.01758,0.50843,0.82108,0.60396,0.44149,1.0318,1.09433,1.2718,0.0001652,0.0001652,0.0001652
93,4127.2,0.69084,0.65475,1.00059,0.55195,0.78743,0.62719,0.45562,1.03089,1.08958,1.27054,0.000148696,0.000148696,0.000148696
94,4180.22,0.68838,0.6242,1.00345,0.55195,0.79589,0.63534,0.46492,1.0216,1.04614,1.2641,0.000132193,0.000132193,0.000132193
95,4235.19,0.68081,0.62264,0.99846,0.52226,0.79737,0.60813,0.43788,1.02744,1.13008,1.27839,0.00011569,0.00011569,0.00011569
96,4281.39,0.67765,0.60269,0.99077,0.49962,0.83131,0.59467,0.42962,1.02465,1.15019,1.27489,9.91865e-05,9.91865e-05,9.91865e-05
97,4323.57,0.67469,0.58069,0.98813,0.51859,0.81059,0.62683,0.45175,1.03483,1.10872,1.27834,8.26832e-05,8.26832e-05,8.26832e-05
98,4364.87,0.66886,0.56621,1.00218,0.55699,0.7648,0.63278,0.45761,1.04295,1.11559,1.27864,6.61799e-05,6.61799e-05,6.61799e-05
99,4412.18,0.66534,0.5746,0.99286,0.55645,0.74439,0.62254,0.45446,1.02729,1.13401,1.27234,4.96766e-05,4.96766e-05,4.96766e-05
100,4455.56,0.64917,0.55975,0.99397,0.54118,0.73372,0.6143,0.44732,1.03625,1.13831,1.28174,3.31733e-05,3.31733e-05,3.31733e-05
